	type	dist	accuracy	time	splits
0	fixed quorum	7x	1.0	5679	False
1	fixed quorum	7x	1.0	3713	False
2	fixed quorum	7x	1.0	3710	False
3	fixed quorum	7x	1.0	6102	False
4	fixed quorum	7x	1.0	5990	False
5	fixed quorum	7x	0.0	1090	False
6	fixed quorum	7x	1.0	3438	False
7	fixed quorum	7x	1.0	2701	False
8	fixed quorum	7x	1.0	3897	False
9	fixed quorum	7x	1.0	5812	False
10	fixed quorum	7x	1.0	3509	False
11	fixed quorum	7x	1.0	2381	False
12	fixed quorum	7x	1.0	2974	False
13	fixed quorum	7x	1.0	4370	False
14	fixed quorum	7x	1.0	3942	False
15	fixed quorum	7x	0.0	1325	False
16	fixed quorum	7x	0.0	2769	False
17	fixed quorum	7x	0.0	1037	False
18	fixed quorum	7x	1.0	6025	False
19	fixed quorum	7x	1.0	2486	False
20	fixed quorum	7x	1.0	4108	False
21	fixed quorum	7x	1.0	3172	False
22	fixed quorum	7x	1.0	3397	False
23	fixed quorum	7x	1.0	5864	False
24	fixed quorum	7x	1.0	4097	False
25	fixed quorum	7x	1.0	3550	False
26	fixed quorum	7x	0.0	1126	False
27	fixed quorum	7x	1.0	4380	False
28	fixed quorum	7x	0.0	1153	False
29	fixed quorum	7x	1.0	3922	False
30	fixed quorum	7x	1.0	3509	False
31	fixed quorum	7x	1.0	3987	False
32	fixed quorum	7x	1.0	4485	False
33	fixed quorum	7x	1.0	3254	False
34	fixed quorum	7x	1.0	2781	False
35	fixed quorum	7x	1.0	3053	False
36	fixed quorum	7x	1.0	3987	False
37	fixed quorum	7x	1.0	6215	False
38	fixed quorum	7x	1.0	1921	False
39	fixed quorum	7x	1.0	2447	False
40	fixed quorum	7x	1.0	3718	False
41	fixed quorum	7x	1.0	4198	False
42	fixed quorum	7x	1.0	3937	False
43	fixed quorum	7x	1.0	3013	False
44	fixed quorum	7x	1.0	3536	False
45	fixed quorum	7x	1.0	3471	False
46	fixed quorum	7x	1.0	5202	False
47	fixed quorum	7x	1.0	3846	False
48	fixed quorum	7x	1.0	3083	False
49	fixed quorum	7x	1.0	4936	False
50	fixed quorum	7x	1.0	3916	False
51	fixed quorum	7x	1.0	4964	False
52	fixed quorum	7x	1.0	1547	False
53	fixed quorum	7x	1.0	3866	False
54	fixed quorum	7x	1.0	1658	False
55	fixed quorum	7x	1.0	3267	False
56	fixed quorum	7x	1.0	2739	False
57	fixed quorum	7x	1.0	4285	False
58	fixed quorum	7x	1.0	4759	False
59	fixed quorum	7x	1.0	4024	False
60	fixed quorum	7x	1.0	4125	False
61	fixed quorum	7x	1.0	4489	False
62	fixed quorum	7x	1.0	3423	False
63	fixed quorum	7x	1.0	3526	False
64	fixed quorum	7x	0.0	2596	False
65	fixed quorum	7x	1.0	3902	False
66	fixed quorum	7x	1.0	4535	False
67	fixed quorum	7x	1.0	4333	False
68	fixed quorum	7x	1.0	1661	False
69	fixed quorum	7x	1.0	5079	False
70	fixed quorum	7x	0.0	935	False
71	fixed quorum	7x	1.0	2758	False
72	fixed quorum	7x	1.0	1974	False
73	fixed quorum	7x	1.0	5335	False
74	fixed quorum	7x	1.0	1997	False
75	fixed quorum	7x	1.0	3610	False
76	fixed quorum	7x	1.0	3093	False
77	fixed quorum	7x	1.0	3996	False
78	fixed quorum	7x	1.0	3351	False
79	fixed quorum	7x	1.0	3048	False
80	fixed quorum	7x	1.0	3727	False
81	fixed quorum	7x	1.0	3042	False
82	fixed quorum	7x	1.0	6110	False
83	fixed quorum	7x	1.0	2642	False
84	fixed quorum	7x	1.0	3219	False
85	fixed quorum	7x	1.0	3929	False
86	fixed quorum	7x	1.0	2183	False
87	fixed quorum	7x	1.0	3115	False
88	fixed quorum	7x	1.0	3766	False
89	fixed quorum	7x	1.0	2966	False
90	fixed quorum	7x	1.0	4549	False
91	fixed quorum	7x	1.0	4976	False
92	fixed quorum	7x	1.0	4777	False
93	fixed quorum	7x	1.0	4833	False
94	fixed quorum	7x	0.0	1099	False
95	fixed quorum	7x	0.0	1159	False
96	fixed quorum	7x	1.0	4804	False
97	fixed quorum	7x	0.0	1012	False
98	fixed quorum	7x	1.0	2267	False
99	fixed quorum	7x	1.0	5068	False
