	type	dist	accuracy	time	splits
0	fixed quorum	7x	1.0	4619	False
1	fixed quorum	7x	1.0	4569	False
2	fixed quorum	7x	1.0	2646	False
3	fixed quorum	7x	1.0	3598	False
4	fixed quorum	7x	1.0	3966	False
5	fixed quorum	7x	1.0	2476	False
6	fixed quorum	7x	1.0	3972	False
7	fixed quorum	7x	1.0	3708	False
8	fixed quorum	7x	1.0	5170	False
9	fixed quorum	7x	1.0	5724	False
10	fixed quorum	7x	1.0	3732	False
11	fixed quorum	7x	1.0	3725	False
12	fixed quorum	7x	1.0	3632	False
13	fixed quorum	7x	1.0	2663	False
14	fixed quorum	7x	1.0	4678	False
15	fixed quorum	7x	1.0	3389	False
16	fixed quorum	7x	1.0	2653	False
17	fixed quorum	7x	1.0	4851	False
18	fixed quorum	7x	1.0	3923	False
19	fixed quorum	7x	1.0	4716	False
20	fixed quorum	7x	1.0	3146	False
21	fixed quorum	7x	1.0	3457	False
22	fixed quorum	7x	1.0	3990	False
23	fixed quorum	7x	1.0	4947	False
24	fixed quorum	7x	1.0	4008	False
25	fixed quorum	7x	1.0	3378	False
26	fixed quorum	7x	1.0	3602	False
27	fixed quorum	7x	1.0	3246	False
28	fixed quorum	7x	1.0	3100	False
29	fixed quorum	7x	1.0	4065	False
30	fixed quorum	7x	1.0	2732	False
31	fixed quorum	7x	1.0	6209	False
32	fixed quorum	7x	1.0	5012	False
33	fixed quorum	7x	1.0	2882	False
34	fixed quorum	7x	1.0	3585	False
35	fixed quorum	7x	1.0	4745	False
36	fixed quorum	7x	1.0	2777	False
37	fixed quorum	7x	1.0	4204	False
38	fixed quorum	7x	1.0	5401	False
39	fixed quorum	7x	1.0	1748	False
40	fixed quorum	7x	1.0	2509	False
41	fixed quorum	7x	1.0	2391	False
42	fixed quorum	7x	1.0	4960	False
43	fixed quorum	7x	1.0	2006	False
44	fixed quorum	7x	1.0	4888	False
45	fixed quorum	7x	1.0	3836	False
46	fixed quorum	7x	1.0	2043	False
47	fixed quorum	7x	1.0	5485	False
48	fixed quorum	7x	1.0	2775	False
49	fixed quorum	7x	1.0	4483	False
50	fixed quorum	7x	1.0	2996	False
51	fixed quorum	7x	1.0	5181	False
52	fixed quorum	7x	1.0	3955	False
53	fixed quorum	7x	1.0	3120	False
54	fixed quorum	7x	1.0	4222	False
55	fixed quorum	7x	1.0	4798	False
56	fixed quorum	7x	1.0	5575	False
57	fixed quorum	7x	1.0	3603	False
58	fixed quorum	7x	1.0	3965	False
59	fixed quorum	7x	1.0	2687	False
60	fixed quorum	7x	1.0	4095	False
61	fixed quorum	7x	1.0	3675	False
62	fixed quorum	7x	1.0	2750	False
63	fixed quorum	7x	1.0	2165	False
64	fixed quorum	7x	1.0	2381	False
65	fixed quorum	7x	1.0	3552	False
66	fixed quorum	7x	1.0	2158	False
67	fixed quorum	7x	1.0	2387	False
68	fixed quorum	7x	1.0	4167	False
69	fixed quorum	7x	1.0	3898	False
70	fixed quorum	7x	1.0	2918	False
71	fixed quorum	7x	1.0	3632	False
72	fixed quorum	7x	1.0	3865	False
73	fixed quorum	7x	1.0	4089	False
74	fixed quorum	7x	1.0	2609	False
75	fixed quorum	7x	1.0	4203	False
76	fixed quorum	7x	1.0	4092	False
77	fixed quorum	7x	1.0	3816	False
78	fixed quorum	7x	1.0	3184	False
79	fixed quorum	7x	1.0	2415	False
80	fixed quorum	7x	1.0	3318	False
81	fixed quorum	7x	1.0	2790	False
82	fixed quorum	7x	1.0	3056	False
83	fixed quorum	7x	1.0	3501	False
84	fixed quorum	7x	1.0	3472	False
85	fixed quorum	7x	1.0	2371	False
86	fixed quorum	7x	1.0	3813	False
87	fixed quorum	7x	1.0	2391	False
88	fixed quorum	7x	1.0	5900	False
89	fixed quorum	7x	1.0	3951	False
90	fixed quorum	7x	1.0	3966	False
91	fixed quorum	7x	1.0	3118	False
92	fixed quorum	7x	1.0	3603	False
93	fixed quorum	7x	1.0	2882	False
94	fixed quorum	7x	1.0	2195	False
95	fixed quorum	7x	1.0	2904	False
96	fixed quorum	7x	1.0	3308	False
97	fixed quorum	7x	1.0	2263	False
98	fixed quorum	7x	1.0	4442	False
99	fixed quorum	7x	1.0	4122	False
