	type	dist	accuracy	time	splits
0	fixed quorum	6x	1.0	4349	False
1	fixed quorum	6x	0.0	2077	False
2	fixed quorum	6x	1.0	2231	False
3	fixed quorum	6x	0.0	2223	False
4	fixed quorum	6x	1.0	2409	False
5	fixed quorum	6x	0.0	2277	False
6	fixed quorum	6x	0.0	517	False
7	fixed quorum	6x	0.0	1347	False
8	fixed quorum	6x	1.0	4914	False
9	fixed quorum	6x	1.0	2295	False
10	fixed quorum	6x	0.0	1544	False
11	fixed quorum	6x	0.0	3043	False
12	fixed quorum	6x	0.0	582	False
13	fixed quorum	6x	0.0	1750	False
14	fixed quorum	6x	1.0	4278	False
15	fixed quorum	6x	0.0	1455	False
16	fixed quorum	6x	1.0	4850	False
17	fixed quorum	6x	0.0	1280	False
18	fixed quorum	6x	1.0	2346	False
19	fixed quorum	6x	1.0	3140	False
20	fixed quorum	6x	0.0	2406	False
21	fixed quorum	6x	1.0	3728	False
22	fixed quorum	6x	0.0	2333	False
23	fixed quorum	6x	0.0	1886	False
24	fixed quorum	6x	1.0	2164	False
25	fixed quorum	6x	0.0	1121	False
26	fixed quorum	6x	0.0	883	False
27	fixed quorum	6x	0.0	1624	False
28	fixed quorum	6x	1.0	3699	False
29	fixed quorum	6x	0.0	1172	False
30	fixed quorum	6x	0.0	1661	False
31	fixed quorum	6x	0.0	1639	False
32	fixed quorum	6x	1.0	4214	False
33	fixed quorum	6x	0.1	4326	True
34	fixed quorum	6x	0.0	1513	False
35	fixed quorum	6x	0.0	2016	False
36	fixed quorum	6x	1.0	3005	False
37	fixed quorum	6x	0.0	1297	False
38	fixed quorum	6x	0.0	2196	False
39	fixed quorum	6x	1.0	4179	False
40	fixed quorum	6x	0.0	1584	False
41	fixed quorum	6x	0.0	1261	False
42	fixed quorum	6x	0.0	2462	False
43	fixed quorum	6x	1.0	2827	False
44	fixed quorum	6x	1.0	3187	False
45	fixed quorum	6x	0.0	1250	False
46	fixed quorum	6x	1.0	2895	False
47	fixed quorum	6x	0.0	1016	False
48	fixed quorum	6x	0.0	1633	False
49	fixed quorum	6x	0.05	3044	True
50	fixed quorum	6x	0.0	1944	False
51	fixed quorum	6x	1.0	4076	False
52	fixed quorum	6x	1.0	2798	False
53	fixed quorum	6x	1.0	2953	False
54	fixed quorum	6x	1.0	3321	False
55	fixed quorum	6x	1.0	2679	False
56	fixed quorum	6x	0.0	8218	False
57	fixed quorum	6x	1.0	3835	False
58	fixed quorum	6x	1.0	1713	False
59	fixed quorum	6x	1.0	2015	False
60	fixed quorum	6x	1.0	2937	False
61	fixed quorum	6x	1.0	2304	False
62	fixed quorum	6x	1.0	3418	False
63	fixed quorum	6x	1.0	5057	False
64	fixed quorum	6x	0.0	1187	False
65	fixed quorum	6x	0.0	501	False
66	fixed quorum	6x	1.0	3362	False
67	fixed quorum	6x	0.0	2678	False
68	fixed quorum	6x	1.0	2529	False
69	fixed quorum	6x	0.0	1435	False
70	fixed quorum	6x	1.0	3794	False
71	fixed quorum	6x	1.0	3336	False
72	fixed quorum	6x	0.0	1882	False
73	fixed quorum	6x	0.0	1541	False
74	fixed quorum	6x	0.0	2479	False
75	fixed quorum	6x	0.0	5343	False
76	fixed quorum	6x	0.0	1633	False
77	fixed quorum	6x	1.0	3587	False
78	fixed quorum	6x	0.1	3640	True
79	fixed quorum	6x	1.0	3744	False
80	fixed quorum	6x	0.0	2288	False
81	fixed quorum	6x	1.0	2029	False
82	fixed quorum	6x	1.0	3644	False
83	fixed quorum	6x	1.0	3338	False
84	fixed quorum	6x	0.0	1826	False
85	fixed quorum	6x	1.0	3844	False
86	fixed quorum	6x	1.0	4020	False
87	fixed quorum	6x	0.0	1217	False
88	fixed quorum	6x	1.0	3165	False
89	fixed quorum	6x	0.0	1544	False
90	fixed quorum	6x	1.0	2104	False
91	fixed quorum	6x	1.0	2491	False
92	fixed quorum	6x	1.0	4596	False
93	fixed quorum	6x	0.0	2713	False
94	fixed quorum	6x	0.0	3906	False
95	fixed quorum	6x	0.0	518	False
96	fixed quorum	6x	1.0	2165	False
97	fixed quorum	6x	0.0	1934	False
98	fixed quorum	6x	1.0	4207	False
99	fixed quorum	6x	1.0	1977	False
