	type	dist	accuracy	time	splits
0	scaled quorum	5x	1.0	3191	False
1	scaled quorum	5x	1.0	1260	False
2	scaled quorum	5x	1.0	2859	False
3	scaled quorum	5x	1.0	2749	False
4	scaled quorum	5x	1.0	3641	False
5	scaled quorum	5x	1.0	1372	False
6	scaled quorum	5x	1.0	4136	False
7	scaled quorum	5x	1.0	3075	False
8	scaled quorum	5x	1.0	3196	False
9	scaled quorum	5x	1.0	3260	False
10	scaled quorum	5x	1.0	2495	False
11	scaled quorum	5x	1.0	4310	False
12	scaled quorum	5x	1.0	3897	False
13	scaled quorum	5x	1.0	1848	False
14	scaled quorum	5x	1.0	2898	False
15	scaled quorum	5x	1.0	2467	False
16	scaled quorum	5x	1.0	3087	False
17	scaled quorum	5x	1.0	4376	False
18	scaled quorum	5x	1.0	2710	False
19	scaled quorum	5x	1.0	3080	False
20	scaled quorum	5x	1.0	2838	False
21	scaled quorum	5x	1.0	3204	False
22	scaled quorum	5x	1.0	2230	False
23	scaled quorum	5x	1.0	3259	False
24	scaled quorum	5x	1.0	2474	False
25	scaled quorum	5x	1.0	3873	False
26	scaled quorum	5x	1.0	2956	False
27	scaled quorum	5x	1.0	2836	False
28	scaled quorum	5x	1.0	2875	False
29	scaled quorum	5x	1.0	2077	False
30	scaled quorum	5x	1.0	2360	False
31	scaled quorum	5x	1.0	2972	False
32	scaled quorum	5x	1.0	3431	False
33	scaled quorum	5x	0.0	2296	False
34	scaled quorum	5x	1.0	3454	False
35	scaled quorum	5x	1.0	4967	False
36	scaled quorum	5x	1.0	3646	False
37	scaled quorum	5x	1.0	1456	False
38	scaled quorum	5x	1.0	4102	False
39	scaled quorum	5x	1.0	2106	False
40	scaled quorum	5x	1.0	2839	False
41	scaled quorum	5x	1.0	2652	False
42	scaled quorum	5x	1.0	3711	False
43	scaled quorum	5x	1.0	2843	False
44	scaled quorum	5x	1.0	1552	False
45	scaled quorum	5x	1.0	3908	False
46	scaled quorum	5x	1.0	1826	False
47	scaled quorum	5x	1.0	3430	False
48	scaled quorum	5x	1.0	1693	False
49	scaled quorum	5x	1.0	2777	False
50	scaled quorum	5x	1.0	3848	False
51	scaled quorum	5x	1.0	1823	False
52	scaled quorum	5x	1.0	2702	False
53	scaled quorum	5x	1.0	3338	False
54	scaled quorum	5x	1.0	3131	False
55	scaled quorum	5x	1.0	6784	False
56	scaled quorum	5x	1.0	2725	False
57	scaled quorum	5x	1.0	3180	False
58	scaled quorum	5x	1.0	2941	False
59	scaled quorum	5x	1.0	3118	False
60	scaled quorum	5x	1.0	2227	False
61	scaled quorum	5x	1.0	2797	False
62	scaled quorum	5x	1.0	3233	False
63	scaled quorum	5x	1.0	3892	False
64	scaled quorum	5x	1.0	3369	False
65	scaled quorum	5x	1.0	2157	False
66	scaled quorum	5x	1.0	1313	False
67	scaled quorum	5x	1.0	2816	False
68	scaled quorum	5x	1.0	2386	False
69	scaled quorum	5x	1.0	2765	False
70	scaled quorum	5x	1.0	3424	False
71	scaled quorum	5x	1.0	3050	False
72	scaled quorum	5x	1.0	3214	False
73	scaled quorum	5x	1.0	2596	False
74	scaled quorum	5x	1.0	3757	False
75	scaled quorum	5x	1.0	4163	False
76	scaled quorum	5x	1.0	2168	False
77	scaled quorum	5x	1.0	3042	False
78	scaled quorum	5x	1.0	2001	False
79	scaled quorum	5x	1.0	2129	False
80	scaled quorum	5x	1.0	2885	False
81	scaled quorum	5x	1.0	2773	False
82	scaled quorum	5x	1.0	3037	False
83	scaled quorum	5x	1.0	4814	False
84	scaled quorum	5x	1.0	2862	False
85	scaled quorum	5x	1.0	2658	False
86	scaled quorum	5x	1.0	2698	False
87	scaled quorum	5x	1.0	4264	False
88	scaled quorum	5x	1.0	3383	False
89	scaled quorum	5x	1.0	1356	False
90	scaled quorum	5x	1.0	4816	False
91	scaled quorum	5x	1.0	3744	False
92	scaled quorum	5x	1.0	2948	False
93	scaled quorum	5x	1.0	3684	False
94	scaled quorum	5x	1.0	1160	False
95	scaled quorum	5x	1.0	2956	False
96	scaled quorum	5x	1.0	2908	False
97	scaled quorum	5x	1.0	3744	False
98	scaled quorum	5x	1.0	2992	False
99	scaled quorum	5x	1.0	3830	False
