	type	dist	accuracy	time	splits
0	scaled quorum	8x	0.0	3009	False
1	scaled quorum	8x	1.0	2433	False
2	scaled quorum	8x	1.0	2042	False
3	scaled quorum	8x	1.0	3094	False
4	scaled quorum	8x	1.0	3627	False
5	scaled quorum	8x	1.0	5304	False
6	scaled quorum	8x	0.0	2743	False
7	scaled quorum	8x	1.0	3277	False
8	scaled quorum	8x	1.0	4342	False
9	scaled quorum	8x	1.0	2697	False
10	scaled quorum	8x	1.0	4058	False
11	scaled quorum	8x	1.0	2110	False
12	scaled quorum	8x	1.0	5674	False
13	scaled quorum	8x	0.0	2957	False
14	scaled quorum	8x	1.0	4776	False
15	scaled quorum	8x	1.0	4087	False
16	scaled quorum	8x	1.0	4013	False
17	scaled quorum	8x	1.0	2695	False
18	scaled quorum	8x	0.0	2410	False
19	scaled quorum	8x	0.0	2014	False
20	scaled quorum	8x	1.0	2840	False
21	scaled quorum	8x	1.0	3571	False
22	scaled quorum	8x	1.0	4601	False
23	scaled quorum	8x	0.0	1950	False
24	scaled quorum	8x	1.0	2496	False
25	scaled quorum	8x	0.0	2368	False
26	scaled quorum	8x	1.0	1887	False
27	scaled quorum	8x	1.0	2114	False
28	scaled quorum	8x	1.0	4479	False
29	scaled quorum	8x	1.0	5262	False
30	scaled quorum	8x	1.0	2672	False
31	scaled quorum	8x	1.0	2634	False
32	scaled quorum	8x	0.0	2817	False
33	scaled quorum	8x	1.0	4387	False
34	scaled quorum	8x	1.0	5161	False
35	scaled quorum	8x	1.0	5859	False
36	scaled quorum	8x	1.0	4715	False
37	scaled quorum	8x	1.0	3190	False
38	scaled quorum	8x	1.0	5237	False
39	scaled quorum	8x	1.0	3988	False
40	scaled quorum	8x	1.0	5343	False
41	scaled quorum	8x	1.0	3780	False
42	scaled quorum	8x	1.0	5152	False
43	scaled quorum	8x	0.0	2824	False
44	scaled quorum	8x	1.0	3706	False
45	scaled quorum	8x	1.0	4176	False
46	scaled quorum	8x	1.0	2143	False
47	scaled quorum	8x	1.0	1881	False
48	scaled quorum	8x	1.0	3149	False
49	scaled quorum	8x	0.0	4502	False
50	scaled quorum	8x	1.0	1622	False
51	scaled quorum	8x	1.0	1905	False
52	scaled quorum	8x	1.0	3861	False
53	scaled quorum	8x	0.0	14045	False
54	scaled quorum	8x	1.0	7032	False
55	scaled quorum	8x	1.0	6122	False
56	scaled quorum	8x	1.0	3096	False
57	scaled quorum	8x	1.0	4670	False
58	scaled quorum	8x	1.0	2950	False
59	scaled quorum	8x	1.0	2697	False
60	scaled quorum	8x	0.0	4255	False
61	scaled quorum	8x	1.0	2783	False
62	scaled quorum	8x	1.0	4833	False
63	scaled quorum	8x	1.0	3902	False
64	scaled quorum	8x	0.0	3533	False
65	scaled quorum	8x	1.0	2569	False
66	scaled quorum	8x	1.0	2968	False
67	scaled quorum	8x	0.0	2509	False
68	scaled quorum	8x	1.0	4184	False
69	scaled quorum	8x	1.0	3345	False
70	scaled quorum	8x	1.0	3288	False
71	scaled quorum	8x	1.0	4410	False
72	scaled quorum	8x	0.0	5515	False
73	scaled quorum	8x	1.0	3142	False
74	scaled quorum	8x	1.0	5365	False
75	scaled quorum	8x	1.0	4298	False
76	scaled quorum	8x	1.0	3186	False
77	scaled quorum	8x	0.0	2420	False
78	scaled quorum	8x	1.0	5307	False
79	scaled quorum	8x	1.0	4998	False
80	scaled quorum	8x	1.0	4610	False
81	scaled quorum	8x	1.0	5054	False
82	scaled quorum	8x	1.0	4740	False
83	scaled quorum	8x	1.0	5763	False
84	scaled quorum	8x	1.0	3765	False
85	scaled quorum	8x	1.0	4165	False
86	scaled quorum	8x	1.0	2617	False
87	scaled quorum	8x	1.0	5712	False
88	scaled quorum	8x	1.0	3551	False
89	scaled quorum	8x	1.0	3045	False
90	scaled quorum	8x	1.0	3516	False
91	scaled quorum	8x	1.0	6110	False
92	scaled quorum	8x	1.0	4399	False
93	scaled quorum	8x	1.0	4475	False
94	scaled quorum	8x	1.0	4348	False
95	scaled quorum	8x	1.0	5320	False
96	scaled quorum	8x	1.0	3417	False
97	scaled quorum	8x	1.0	2016	False
98	scaled quorum	8x	1.0	2333	False
99	scaled quorum	8x	1.0	4244	False
