	type	dist	accuracy	time	splits
0	fixed quorum	2x	1.0	1466	False
1	fixed quorum	2x	1.0	2170	False
2	fixed quorum	2x	1.0	1084	False
3	fixed quorum	2x	1.0	643	False
4	fixed quorum	2x	1.0	1314	False
5	fixed quorum	2x	1.0	720	False
6	fixed quorum	2x	1.0	1693	False
7	fixed quorum	2x	1.0	1645	False
8	fixed quorum	2x	1.0	1374	False
9	fixed quorum	2x	1.0	1183	False
10	fixed quorum	2x	1.0	896	False
11	fixed quorum	2x	1.0	1288	False
12	fixed quorum	2x	1.0	1102	False
13	fixed quorum	2x	1.0	404	False
14	fixed quorum	2x	1.0	939	False
15	fixed quorum	2x	1.0	1049	False
16	fixed quorum	2x	1.0	986	False
17	fixed quorum	2x	1.0	2495	False
18	fixed quorum	2x	1.0	1279	False
19	fixed quorum	2x	1.0	887	False
20	fixed quorum	2x	1.0	683	False
21	fixed quorum	2x	1.0	1511	False
22	fixed quorum	2x	1.0	996	False
23	fixed quorum	2x	1.0	631	False
24	fixed quorum	2x	1.0	973	False
25	fixed quorum	2x	1.0	1231	False
26	fixed quorum	2x	1.0	964	False
27	fixed quorum	2x	1.0	562	False
28	fixed quorum	2x	0.0	494	False
29	fixed quorum	2x	1.0	610	False
30	fixed quorum	2x	1.0	1061	False
31	fixed quorum	2x	1.0	1103	False
32	fixed quorum	2x	1.0	1649	False
33	fixed quorum	2x	1.0	1172	False
34	fixed quorum	2x	1.0	1168	False
35	fixed quorum	2x	1.0	2881	False
36	fixed quorum	2x	1.0	959	False
37	fixed quorum	2x	1.0	1052	False
38	fixed quorum	2x	1.0	3786	False
39	fixed quorum	2x	1.0	1171	False
40	fixed quorum	2x	1.0	1103	False
41	fixed quorum	2x	1.0	824	False
42	fixed quorum	2x	1.0	1066	False
43	fixed quorum	2x	1.0	1563	False
44	fixed quorum	2x	1.0	1449	False
45	fixed quorum	2x	1.0	612	False
46	fixed quorum	2x	1.0	1034	False
47	fixed quorum	2x	1.0	1454	False
48	fixed quorum	2x	1.0	1175	False
49	fixed quorum	2x	1.0	1627	False
50	fixed quorum	2x	1.0	703	False
51	fixed quorum	2x	1.0	1302	False
52	fixed quorum	2x	1.0	1079	False
53	fixed quorum	2x	1.0	1120	False
54	fixed quorum	2x	1.0	1032	False
55	fixed quorum	2x	1.0	512	False
56	fixed quorum	2x	1.0	1006	False
57	fixed quorum	2x	1.0	1700	False
58	fixed quorum	2x	1.0	1290	False
59	fixed quorum	2x	1.0	1303	False
60	fixed quorum	2x	1.0	1679	False
61	fixed quorum	2x	1.0	676	False
62	fixed quorum	2x	1.0	994	False
63	fixed quorum	2x	1.0	1107	False
64	fixed quorum	2x	1.0	875	False
65	fixed quorum	2x	1.0	1250	False
66	fixed quorum	2x	1.0	1286	False
67	fixed quorum	2x	1.0	734	False
68	fixed quorum	2x	1.0	794	False
69	fixed quorum	2x	1.0	1182	False
70	fixed quorum	2x	1.0	924	False
71	fixed quorum	2x	1.0	1132	False
72	fixed quorum	2x	1.0	702	False
73	fixed quorum	2x	1.0	966	False
74	fixed quorum	2x	0.0	528	False
75	fixed quorum	2x	0.0	594	False
76	fixed quorum	2x	1.0	807	False
77	fixed quorum	2x	1.0	1246	False
78	fixed quorum	2x	1.0	699	False
79	fixed quorum	2x	1.0	652	False
80	fixed quorum	2x	1.0	395	False
81	fixed quorum	2x	1.0	1091	False
82	fixed quorum	2x	1.0	519	False
83	fixed quorum	2x	1.0	1600	False
84	fixed quorum	2x	1.0	1357	False
85	fixed quorum	2x	1.0	1422	False
86	fixed quorum	2x	1.0	1274	False
87	fixed quorum	2x	1.0	780	False
88	fixed quorum	2x	1.0	908	False
89	fixed quorum	2x	1.0	1327	False
90	fixed quorum	2x	1.0	993	False
91	fixed quorum	2x	1.0	1396	False
92	fixed quorum	2x	1.0	1241	False
93	fixed quorum	2x	1.0	1608	False
94	fixed quorum	2x	1.0	1122	False
95	fixed quorum	2x	1.0	1132	False
96	fixed quorum	2x	1.0	699	False
97	fixed quorum	2x	1.0	664	False
98	fixed quorum	2x	1.0	859	False
99	fixed quorum	2x	1.0	957	False
