	type	dist	accuracy	time	splits
0	fixed quorum	5x	1.0	2420	False
1	fixed quorum	5x	1.0	2377	False
2	fixed quorum	5x	1.0	4059	False
3	fixed quorum	5x	1.0	3155	False
4	fixed quorum	5x	1.0	2715	False
5	fixed quorum	5x	1.0	2263	False
6	fixed quorum	5x	1.0	4723	False
7	fixed quorum	5x	0.0	1433	False
8	fixed quorum	5x	0.0	1642	False
9	fixed quorum	5x	1.0	3364	False
10	fixed quorum	5x	1.0	3355	False
11	fixed quorum	5x	1.0	10932	False
12	fixed quorum	5x	1.0	3057	False
13	fixed quorum	5x	1.0	1111	False
14	fixed quorum	5x	0.0	855	False
15	fixed quorum	5x	0.0	1834	False
16	fixed quorum	5x	1.0	2574	False
17	fixed quorum	5x	0.0	628	False
18	fixed quorum	5x	0.0	1180	False
19	fixed quorum	5x	0.0	3893	False
20	fixed quorum	5x	1.0	2133	False
21	fixed quorum	5x	1.0	3305	False
22	fixed quorum	5x	1.0	4885	False
23	fixed quorum	5x	1.0	2440	False
24	fixed quorum	5x	1.0	4054	False
25	fixed quorum	5x	1.0	3663	False
26	fixed quorum	5x	0.0	2510	False
27	fixed quorum	5x	1.0	2269	False
28	fixed quorum	5x	1.0	3494	False
29	fixed quorum	5x	1.0	1718	False
30	fixed quorum	5x	1.0	3456	False
31	fixed quorum	5x	1.0	3197	False
32	fixed quorum	5x	1.0	1921	False
33	fixed quorum	5x	1.0	2249	False
34	fixed quorum	5x	0.0	1305	False
35	fixed quorum	5x	0.0	1442	False
36	fixed quorum	5x	0.0	1424	False
37	fixed quorum	5x	0.0	1479	False
38	fixed quorum	5x	1.0	1914	False
39	fixed quorum	5x	1.0	2883	False
40	fixed quorum	5x	1.0	3261	False
41	fixed quorum	5x	1.0	2299	False
42	fixed quorum	5x	0.06	3423	True
43	fixed quorum	5x	1.0	2512	False
44	fixed quorum	5x	0.0	1337	False
45	fixed quorum	5x	0.0	770	False
46	fixed quorum	5x	1.0	2284	False
47	fixed quorum	5x	1.0	4403	False
48	fixed quorum	5x	0.0	1130	False
49	fixed quorum	5x	1.0	2096	False
50	fixed quorum	5x	1.0	2832	False
51	fixed quorum	5x	0.0	1032	False
52	fixed quorum	5x	0.0	3158	False
53	fixed quorum	5x	0.0	1009	False
54	fixed quorum	5x	1.0	2874	False
55	fixed quorum	5x	0.0	543	False
56	fixed quorum	5x	0.0	1162	False
57	fixed quorum	5x	0.0	2383	False
58	fixed quorum	5x	1.0	2790	False
59	fixed quorum	5x	1.0	2845	False
60	fixed quorum	5x	1.0	3660	False
61	fixed quorum	5x	1.0	2244	False
62	fixed quorum	5x	0.0	1791	False
63	fixed quorum	5x	0.0	772	False
64	fixed quorum	5x	0.0	4157	False
65	fixed quorum	5x	0.0	1094	False
66	fixed quorum	5x	1.0	4674	False
67	fixed quorum	5x	0.0	6371	False
68	fixed quorum	5x	1.0	4147	False
69	fixed quorum	5x	0.0	2890	False
70	fixed quorum	5x	0.0	1394	False
71	fixed quorum	5x	0.0	3894	False
72	fixed quorum	5x	1.0	4135	False
73	fixed quorum	5x	1.0	1228	False
74	fixed quorum	5x	0.0	936	False
75	fixed quorum	5x	1.0	4035	False
76	fixed quorum	5x	0.0	4857	False
77	fixed quorum	5x	0.0	990	False
78	fixed quorum	5x	1.0	4964	False
79	fixed quorum	5x	1.0	3362	False
80	fixed quorum	5x	0.0	839	False
81	fixed quorum	5x	0.0	1134	False
82	fixed quorum	5x	0.0	1820	False
83	fixed quorum	5x	0.0	1876	False
84	fixed quorum	5x	1.0	3398	False
85	fixed quorum	5x	1.0	3123	False
86	fixed quorum	5x	0.0	1177	False
87	fixed quorum	5x	1.0	3321	False
88	fixed quorum	5x	1.0	2949	False
89	fixed quorum	5x	0.0	406	False
90	fixed quorum	5x	0.0	1153	False
91	fixed quorum	5x	1.0	2921	False
92	fixed quorum	5x	1.0	2533	False
93	fixed quorum	5x	1.0	1661	False
94	fixed quorum	5x	1.0	2697	False
95	fixed quorum	5x	1.0	2408	False
96	fixed quorum	5x	1.0	3090	False
97	fixed quorum	5x	1.0	3073	False
98	fixed quorum	5x	0.0	2311	False
99	fixed quorum	5x	0.0	1379	False
