	type	dist	accuracy	time	splits
0	fixed quorum	4x	1.0	2979	False
1	fixed quorum	4x	1.0	3014	False
2	fixed quorum	4x	1.0	1595	False
3	fixed quorum	4x	1.0	1899	False
4	fixed quorum	4x	1.0	2404	False
5	fixed quorum	4x	1.0	2025	False
6	fixed quorum	4x	1.0	2475	False
7	fixed quorum	4x	1.0	2647	False
8	fixed quorum	4x	1.0	3866	False
9	fixed quorum	4x	1.0	1529	False
10	fixed quorum	4x	1.0	2364	False
11	fixed quorum	4x	1.0	2644	False
12	fixed quorum	4x	1.0	3277	False
13	fixed quorum	4x	1.0	2115	False
14	fixed quorum	4x	1.0	2385	False
15	fixed quorum	4x	1.0	2796	False
16	fixed quorum	4x	1.0	2403	False
17	fixed quorum	4x	1.0	2673	False
18	fixed quorum	4x	1.0	3586	False
19	fixed quorum	4x	1.0	2810	False
20	fixed quorum	4x	1.0	7662	False
21	fixed quorum	4x	1.0	2128	False
22	fixed quorum	4x	1.0	1889	False
23	fixed quorum	4x	1.0	2889	False
24	fixed quorum	4x	1.0	1290	False
25	fixed quorum	4x	1.0	3549	False
26	fixed quorum	4x	1.0	2643	False
27	fixed quorum	4x	1.0	2577	False
28	fixed quorum	4x	1.0	1278	False
29	fixed quorum	4x	1.0	2780	False
30	fixed quorum	4x	1.0	2765	False
31	fixed quorum	4x	1.0	1956	False
32	fixed quorum	4x	1.0	2214	False
33	fixed quorum	4x	1.0	2927	False
34	fixed quorum	4x	1.0	1614	False
35	fixed quorum	4x	1.0	2177	False
36	fixed quorum	4x	1.0	2097	False
37	fixed quorum	4x	1.0	3820	False
38	fixed quorum	4x	1.0	913	False
39	fixed quorum	4x	1.0	1457	False
40	fixed quorum	4x	1.0	2573	False
41	fixed quorum	4x	1.0	1834	False
42	fixed quorum	4x	1.0	1886	False
43	fixed quorum	4x	1.0	2718	False
44	fixed quorum	4x	1.0	1668	False
45	fixed quorum	4x	1.0	2313	False
46	fixed quorum	4x	1.0	2597	False
47	fixed quorum	4x	1.0	2587	False
48	fixed quorum	4x	1.0	2462	False
49	fixed quorum	4x	1.0	2206	False
50	fixed quorum	4x	1.0	3567	False
51	fixed quorum	4x	1.0	2366	False
52	fixed quorum	4x	1.0	2961	False
53	fixed quorum	4x	1.0	2464	False
54	fixed quorum	4x	1.0	2545	False
55	fixed quorum	4x	1.0	3264	False
56	fixed quorum	4x	1.0	3768	False
57	fixed quorum	4x	1.0	1985	False
58	fixed quorum	4x	1.0	2759	False
59	fixed quorum	4x	1.0	1437	False
60	fixed quorum	4x	1.0	2765	False
61	fixed quorum	4x	1.0	1971	False
62	fixed quorum	4x	1.0	2135	False
63	fixed quorum	4x	1.0	1038	False
64	fixed quorum	4x	1.0	2234	False
65	fixed quorum	4x	1.0	1758	False
66	fixed quorum	4x	1.0	1932	False
67	fixed quorum	4x	1.0	2474	False
68	fixed quorum	4x	1.0	1880	False
69	fixed quorum	4x	1.0	2690	False
70	fixed quorum	4x	1.0	2706	False
71	fixed quorum	4x	1.0	3529	False
72	fixed quorum	4x	1.0	1428	False
73	fixed quorum	4x	1.0	2393	False
74	fixed quorum	4x	1.0	1646	False
75	fixed quorum	4x	1.0	2248	False
76	fixed quorum	4x	1.0	2377	False
77	fixed quorum	4x	1.0	2088	False
78	fixed quorum	4x	1.0	1306	False
79	fixed quorum	4x	1.0	1753	False
80	fixed quorum	4x	1.0	2110	False
81	fixed quorum	4x	1.0	1757	False
82	fixed quorum	4x	1.0	3077	False
83	fixed quorum	4x	1.0	1372	False
84	fixed quorum	4x	1.0	2170	False
85	fixed quorum	4x	1.0	1915	False
86	fixed quorum	4x	1.0	2376	False
87	fixed quorum	4x	1.0	2310	False
88	fixed quorum	4x	1.0	2500	False
89	fixed quorum	4x	1.0	2543	False
90	fixed quorum	4x	1.0	2010	False
91	fixed quorum	4x	1.0	1932	False
92	fixed quorum	4x	1.0	2747	False
93	fixed quorum	4x	1.0	2653	False
94	fixed quorum	4x	1.0	2457	False
95	fixed quorum	4x	1.0	1674	False
96	fixed quorum	4x	1.0	1901	False
97	fixed quorum	4x	1.0	2650	False
98	fixed quorum	4x	1.0	3120	False
99	fixed quorum	4x	1.0	3870	False
