	type	dist	accuracy	time	splits
0	fixed quorum	2x	1.0	1135	False
1	fixed quorum	2x	1.0	1170	False
2	fixed quorum	2x	1.0	1143	False
3	fixed quorum	2x	1.0	926	False
4	fixed quorum	2x	1.0	626	False
5	fixed quorum	2x	1.0	3834	False
6	fixed quorum	2x	1.0	1139	False
7	fixed quorum	2x	1.0	1078	False
8	fixed quorum	2x	1.0	794	False
9	fixed quorum	2x	1.0	1116	False
10	fixed quorum	2x	1.0	1343	False
11	fixed quorum	2x	1.0	987	False
12	fixed quorum	2x	1.0	1187	False
13	fixed quorum	2x	1.0	783	False
14	fixed quorum	2x	1.0	1315	False
15	fixed quorum	2x	1.0	1230	False
16	fixed quorum	2x	1.0	1108	False
17	fixed quorum	2x	1.0	734	False
18	fixed quorum	2x	1.0	1149	False
19	fixed quorum	2x	1.0	1153	False
20	fixed quorum	2x	1.0	916	False
21	fixed quorum	2x	1.0	556	False
22	fixed quorum	2x	1.0	1244	False
23	fixed quorum	2x	1.0	3159	False
24	fixed quorum	2x	1.0	1055	False
25	fixed quorum	2x	1.0	865	False
26	fixed quorum	2x	1.0	1115	False
27	fixed quorum	2x	1.0	959	False
28	fixed quorum	2x	1.0	928	False
29	fixed quorum	2x	1.0	787	False
30	fixed quorum	2x	1.0	459	False
31	fixed quorum	2x	1.0	1316	False
32	fixed quorum	2x	1.0	709	False
33	fixed quorum	2x	1.0	1156	False
34	fixed quorum	2x	1.0	4486	False
35	fixed quorum	2x	1.0	759	False
36	fixed quorum	2x	1.0	3674	False
37	fixed quorum	2x	1.0	1057	False
38	fixed quorum	2x	1.0	1522	False
39	fixed quorum	2x	1.0	910	False
40	fixed quorum	2x	1.0	871	False
41	fixed quorum	2x	1.0	956	False
42	fixed quorum	2x	1.0	656	False
43	fixed quorum	2x	1.0	870	False
44	fixed quorum	2x	1.0	932	False
45	fixed quorum	2x	1.0	1459	False
46	fixed quorum	2x	1.0	968	False
47	fixed quorum	2x	1.0	903	False
48	fixed quorum	2x	1.0	1396	False
49	fixed quorum	2x	1.0	1012	False
50	fixed quorum	2x	1.0	1403	False
51	fixed quorum	2x	1.0	787	False
52	fixed quorum	2x	1.0	2774	False
53	fixed quorum	2x	1.0	782	False
54	fixed quorum	2x	1.0	1223	False
55	fixed quorum	2x	1.0	944	False
56	fixed quorum	2x	1.0	552	False
57	fixed quorum	2x	1.0	506	False
58	fixed quorum	2x	1.0	814	False
59	fixed quorum	2x	1.0	910	False
60	fixed quorum	2x	1.0	1051	False
61	fixed quorum	2x	1.0	1277	False
62	fixed quorum	2x	1.0	1961	False
63	fixed quorum	2x	1.0	2032	False
64	fixed quorum	2x	1.0	1525	False
65	fixed quorum	2x	1.0	1843	False
66	fixed quorum	2x	1.0	1638	False
67	fixed quorum	2x	1.0	935	False
68	fixed quorum	2x	1.0	1017	False
69	fixed quorum	2x	1.0	1140	False
70	fixed quorum	2x	1.0	747	False
71	fixed quorum	2x	1.0	1262	False
72	fixed quorum	2x	1.0	1023	False
73	fixed quorum	2x	1.0	888	False
74	fixed quorum	2x	1.0	862	False
75	fixed quorum	2x	1.0	2709	False
76	fixed quorum	2x	1.0	993	False
77	fixed quorum	2x	1.0	1247	False
78	fixed quorum	2x	1.0	1107	False
79	fixed quorum	2x	1.0	1294	False
80	fixed quorum	2x	1.0	648	False
81	fixed quorum	2x	1.0	1392	False
82	fixed quorum	2x	1.0	1532	False
83	fixed quorum	2x	1.0	1545	False
84	fixed quorum	2x	1.0	659	False
85	fixed quorum	2x	1.0	988	False
86	fixed quorum	2x	1.0	996	False
87	fixed quorum	2x	1.0	789	False
88	fixed quorum	2x	1.0	938	False
89	fixed quorum	2x	1.0	1430	False
90	fixed quorum	2x	1.0	1238	False
91	fixed quorum	2x	1.0	1294	False
92	fixed quorum	2x	1.0	1322	False
93	fixed quorum	2x	1.0	868	False
94	fixed quorum	2x	1.0	584	False
95	fixed quorum	2x	1.0	1331	False
96	fixed quorum	2x	1.0	1289	False
97	fixed quorum	2x	1.0	889	False
98	fixed quorum	2x	1.0	1376	False
99	fixed quorum	2x	1.0	975	False
