	type	dist	accuracy	time	splits
0	fixed quorum	6x	1.0	3327	False
1	fixed quorum	6x	1.0	3966	False
2	fixed quorum	6x	1.0	2512	False
3	fixed quorum	6x	1.0	2425	False
4	fixed quorum	6x	1.0	2307	False
5	fixed quorum	6x	1.0	2732	False
6	fixed quorum	6x	1.0	2497	False
7	fixed quorum	6x	1.0	3094	False
8	fixed quorum	6x	1.0	2746	False
9	fixed quorum	6x	1.0	4207	False
10	fixed quorum	6x	1.0	2827	False
11	fixed quorum	6x	1.0	3142	False
12	fixed quorum	6x	1.0	1559	False
13	fixed quorum	6x	1.0	2735	False
14	fixed quorum	6x	1.0	4579	False
15	fixed quorum	6x	1.0	3127	False
16	fixed quorum	6x	1.0	2246	False
17	fixed quorum	6x	1.0	3929	False
18	fixed quorum	6x	1.0	2692	False
19	fixed quorum	6x	1.0	3855	False
20	fixed quorum	6x	1.0	2474	False
21	fixed quorum	6x	1.0	2175	False
22	fixed quorum	6x	1.0	2898	False
23	fixed quorum	6x	1.0	2179	False
24	fixed quorum	6x	1.0	2838	False
25	fixed quorum	6x	1.0	3040	False
26	fixed quorum	6x	1.0	3572	False
27	fixed quorum	6x	1.0	3013	False
28	fixed quorum	6x	1.0	3489	False
29	fixed quorum	6x	1.0	2167	False
30	fixed quorum	6x	1.0	2935	False
31	fixed quorum	6x	0.0	2794	False
32	fixed quorum	6x	1.0	2804	False
33	fixed quorum	6x	0.0	1322	False
34	fixed quorum	6x	1.0	2831	False
35	fixed quorum	6x	1.0	3529	False
36	fixed quorum	6x	1.0	3714	False
37	fixed quorum	6x	0.0	13540	False
38	fixed quorum	6x	1.0	3326	False
39	fixed quorum	6x	1.0	1424	False
40	fixed quorum	6x	1.0	3345	False
41	fixed quorum	6x	0.0	2067	False
42	fixed quorum	6x	1.0	3285	False
43	fixed quorum	6x	1.0	2888	False
44	fixed quorum	6x	1.0	2505	False
45	fixed quorum	6x	1.0	4703	False
46	fixed quorum	6x	1.0	2577	False
47	fixed quorum	6x	1.0	3211	False
48	fixed quorum	6x	1.0	2680	False
49	fixed quorum	6x	1.0	3156	False
50	fixed quorum	6x	0.0	2988	False
51	fixed quorum	6x	1.0	3754	False
52	fixed quorum	6x	1.0	2048	False
53	fixed quorum	6x	1.0	3527	False
54	fixed quorum	6x	1.0	3729	False
55	fixed quorum	6x	1.0	1665	False
56	fixed quorum	6x	1.0	2905	False
57	fixed quorum	6x	1.0	1980	False
58	fixed quorum	6x	1.0	3272	False
59	fixed quorum	6x	0.0	1004	False
60	fixed quorum	6x	1.0	2934	False
61	fixed quorum	6x	1.0	3968	False
62	fixed quorum	6x	1.0	3499	False
63	fixed quorum	6x	0.0	1766	False
64	fixed quorum	6x	1.0	2420	False
65	fixed quorum	6x	1.0	1922	False
66	fixed quorum	6x	1.0	3393	False
67	fixed quorum	6x	1.0	3311	False
68	fixed quorum	6x	1.0	3420	False
69	fixed quorum	6x	1.0	3620	False
70	fixed quorum	6x	0.0	2313	False
71	fixed quorum	6x	1.0	3810	False
72	fixed quorum	6x	1.0	1784	False
73	fixed quorum	6x	0.0	994	False
74	fixed quorum	6x	0.0	1354	False
75	fixed quorum	6x	1.0	2639	False
76	fixed quorum	6x	1.0	1919	False
77	fixed quorum	6x	1.0	5913	False
78	fixed quorum	6x	1.0	2861	False
79	fixed quorum	6x	1.0	3252	False
80	fixed quorum	6x	0.0	1043	False
81	fixed quorum	6x	0.0	1002	False
82	fixed quorum	6x	1.0	3811	False
83	fixed quorum	6x	1.0	4411	False
84	fixed quorum	6x	1.0	2491	False
85	fixed quorum	6x	0.0	1641	False
86	fixed quorum	6x	1.0	3390	False
87	fixed quorum	6x	1.0	3949	False
88	fixed quorum	6x	1.0	1825	False
89	fixed quorum	6x	1.0	2213	False
90	fixed quorum	6x	1.0	3629	False
91	fixed quorum	6x	1.0	4644	False
92	fixed quorum	6x	1.0	3625	False
93	fixed quorum	6x	1.0	3021	False
94	fixed quorum	6x	1.0	2798	False
95	fixed quorum	6x	1.0	3493	False
96	fixed quorum	6x	1.0	3127	False
97	fixed quorum	6x	1.0	2656	False
98	fixed quorum	6x	1.0	2953	False
99	fixed quorum	6x	1.0	2046	False
