	type	dist	accuracy	time	splits
0	scaled quorum	6x	1.0	1791	False
1	scaled quorum	6x	1.0	2037	False
2	scaled quorum	6x	1.0	3453	False
3	scaled quorum	6x	1.0	2276	False
4	scaled quorum	6x	1.0	4464	False
5	scaled quorum	6x	1.0	3565	False
6	scaled quorum	6x	1.0	3289	False
7	scaled quorum	6x	1.0	2451	False
8	scaled quorum	6x	1.0	3309	False
9	scaled quorum	6x	1.0	3478	False
10	scaled quorum	6x	1.0	4012	False
11	scaled quorum	6x	1.0	1529	False
12	scaled quorum	6x	1.0	3304	False
13	scaled quorum	6x	1.0	2963	False
14	scaled quorum	6x	0.0	1680	False
15	scaled quorum	6x	1.0	3499	False
16	scaled quorum	6x	0.0	1888	False
17	scaled quorum	6x	1.0	2808	False
18	scaled quorum	6x	1.0	3046	False
19	scaled quorum	6x	1.0	3843	False
20	scaled quorum	6x	1.0	1266	False
21	scaled quorum	6x	1.0	4356	False
22	scaled quorum	6x	1.0	4215	False
23	scaled quorum	6x	1.0	1882	False
24	scaled quorum	6x	1.0	3046	False
25	scaled quorum	6x	1.0	4189	False
26	scaled quorum	6x	0.0	1923	False
27	scaled quorum	6x	1.0	3972	False
28	scaled quorum	6x	1.0	3354	False
29	scaled quorum	6x	1.0	3274	False
30	scaled quorum	6x	1.0	2742	False
31	scaled quorum	6x	1.0	2437	False
32	scaled quorum	6x	1.0	1921	False
33	scaled quorum	6x	1.0	3269	False
34	scaled quorum	6x	1.0	3118	False
35	scaled quorum	6x	1.0	3457	False
36	scaled quorum	6x	1.0	2579	False
37	scaled quorum	6x	1.0	2474	False
38	scaled quorum	6x	1.0	2441	False
39	scaled quorum	6x	1.0	1431	False
40	scaled quorum	6x	1.0	1631	False
41	scaled quorum	6x	1.0	3392	False
42	scaled quorum	6x	1.0	3161	False
43	scaled quorum	6x	1.0	4067	False
44	scaled quorum	6x	1.0	2216	False
45	scaled quorum	6x	1.0	2721	False
46	scaled quorum	6x	1.0	3196	False
47	scaled quorum	6x	1.0	2945	False
48	scaled quorum	6x	1.0	3072	False
49	scaled quorum	6x	1.0	3689	False
50	scaled quorum	6x	1.0	4220	False
51	scaled quorum	6x	1.0	3695	False
52	scaled quorum	6x	1.0	4777	False
53	scaled quorum	6x	1.0	2151	False
54	scaled quorum	6x	1.0	2350	False
55	scaled quorum	6x	1.0	2581	False
56	scaled quorum	6x	1.0	3312	False
57	scaled quorum	6x	1.0	3887	False
58	scaled quorum	6x	1.0	1239	False
59	scaled quorum	6x	1.0	4783	False
60	scaled quorum	6x	1.0	3734	False
61	scaled quorum	6x	1.0	2872	False
62	scaled quorum	6x	0.0	2292	False
63	scaled quorum	6x	1.0	1940	False
64	scaled quorum	6x	1.0	4084	False
65	scaled quorum	6x	1.0	5425	False
66	scaled quorum	6x	1.0	1907	False
67	scaled quorum	6x	1.0	4223	False
68	scaled quorum	6x	1.0	1308	False
69	scaled quorum	6x	1.0	2670	False
70	scaled quorum	6x	1.0	3840	False
71	scaled quorum	6x	1.0	3255	False
72	scaled quorum	6x	1.0	2454	False
73	scaled quorum	6x	1.0	2247	False
74	scaled quorum	6x	1.0	3097	False
75	scaled quorum	6x	1.0	4449	False
76	scaled quorum	6x	1.0	3197	False
77	scaled quorum	6x	1.0	4490	False
78	scaled quorum	6x	1.0	1997	False
79	scaled quorum	6x	1.0	3028	False
80	scaled quorum	6x	1.0	3894	False
81	scaled quorum	6x	1.0	4017	False
82	scaled quorum	6x	1.0	2418	False
83	scaled quorum	6x	1.0	3179	False
84	scaled quorum	6x	1.0	3283	False
85	scaled quorum	6x	1.0	2075	False
86	scaled quorum	6x	1.0	3398	False
87	scaled quorum	6x	1.0	3857	False
88	scaled quorum	6x	1.0	3861	False
89	scaled quorum	6x	1.0	3070	False
90	scaled quorum	6x	1.0	3866	False
91	scaled quorum	6x	1.0	3596	False
92	scaled quorum	6x	0.0	5756	False
93	scaled quorum	6x	1.0	3161	False
94	scaled quorum	6x	1.0	3861	False
95	scaled quorum	6x	1.0	2461	False
96	scaled quorum	6x	1.0	5265	False
97	scaled quorum	6x	1.0	3409	False
98	scaled quorum	6x	1.0	2903	False
99	scaled quorum	6x	1.0	3332	False
