	type	dist	accuracy	time	splits
0	scaled quorum	2x	1.0	1868	False
1	scaled quorum	2x	1.0	1199	False
2	scaled quorum	2x	1.0	1229	False
3	scaled quorum	2x	1.0	2260	False
4	scaled quorum	2x	1.0	1936	False
5	scaled quorum	2x	1.0	1433	False
6	scaled quorum	2x	1.0	1496	False
7	scaled quorum	2x	1.0	11365	False
8	scaled quorum	2x	1.0	1594	False
9	scaled quorum	2x	1.0	1816	False
10	scaled quorum	2x	1.0	1309	False
11	scaled quorum	2x	1.0	2031	False
12	scaled quorum	2x	1.0	1211	False
13	scaled quorum	2x	1.0	794	False
14	scaled quorum	2x	1.0	1853	False
15	scaled quorum	2x	1.0	2048	False
16	scaled quorum	2x	1.0	1823	False
17	scaled quorum	2x	1.0	2621	False
18	scaled quorum	2x	1.0	1915	False
19	scaled quorum	2x	1.0	2088	False
20	scaled quorum	2x	1.0	2085	False
21	scaled quorum	2x	1.0	1888	False
22	scaled quorum	2x	1.0	1379	False
23	scaled quorum	2x	1.0	2953	False
24	scaled quorum	2x	1.0	1438	False
25	scaled quorum	2x	1.0	1490	False
26	scaled quorum	2x	1.0	1449	False
27	scaled quorum	2x	1.0	1444	False
28	scaled quorum	2x	1.0	1640	False
29	scaled quorum	2x	1.0	6904	False
30	scaled quorum	2x	1.0	1236	False
31	scaled quorum	2x	1.0	3143	False
32	scaled quorum	2x	1.0	1527	False
33	scaled quorum	2x	1.0	1770	False
34	scaled quorum	2x	1.0	2009	False
35	scaled quorum	2x	1.0	2264	False
36	scaled quorum	2x	1.0	1498	False
37	scaled quorum	2x	1.0	2272	False
38	scaled quorum	2x	1.0	2142	False
39	scaled quorum	2x	1.0	1876	False
40	scaled quorum	2x	1.0	1760	False
41	scaled quorum	2x	1.0	1845	False
42	scaled quorum	2x	1.0	2228	False
43	scaled quorum	2x	1.0	2243	False
44	scaled quorum	2x	1.0	1537	False
45	scaled quorum	2x	1.0	2601	False
46	scaled quorum	2x	1.0	2419	False
47	scaled quorum	2x	1.0	2259	False
48	scaled quorum	2x	1.0	2666	False
49	scaled quorum	2x	1.0	1522	False
50	scaled quorum	2x	1.0	1498	False
51	scaled quorum	2x	1.0	2397	False
52	scaled quorum	2x	1.0	2587	False
53	scaled quorum	2x	1.0	2062	False
54	scaled quorum	2x	1.0	1181	False
55	scaled quorum	2x	1.0	1448	False
56	scaled quorum	2x	1.0	2072	False
57	scaled quorum	2x	1.0	1362	False
58	scaled quorum	2x	1.0	1780	False
59	scaled quorum	2x	1.0	1069	False
60	scaled quorum	2x	1.0	2586	False
61	scaled quorum	2x	1.0	938	False
62	scaled quorum	2x	1.0	1332	False
63	scaled quorum	2x	1.0	2059	False
64	scaled quorum	2x	1.0	2038	False
65	scaled quorum	2x	1.0	1484	False
66	scaled quorum	2x	1.0	2067	False
67	scaled quorum	2x	1.0	4935	False
68	scaled quorum	2x	1.0	1746	False
69	scaled quorum	2x	1.0	2377	False
70	scaled quorum	2x	1.0	2044	False
71	scaled quorum	2x	1.0	1496	False
72	scaled quorum	2x	1.0	1912	False
73	scaled quorum	2x	1.0	3135	False
74	scaled quorum	2x	1.0	2084	False
75	scaled quorum	2x	1.0	1099	False
76	scaled quorum	2x	1.0	1685	False
77	scaled quorum	2x	1.0	734	False
78	scaled quorum	2x	1.0	1052	False
79	scaled quorum	2x	1.0	1779	False
80	scaled quorum	2x	1.0	1628	False
81	scaled quorum	2x	1.0	873	False
82	scaled quorum	2x	1.0	1906	False
83	scaled quorum	2x	1.0	2327	False
84	scaled quorum	2x	1.0	1339	False
85	scaled quorum	2x	1.0	1652	False
86	scaled quorum	2x	1.0	2670	False
87	scaled quorum	2x	1.0	2320	False
88	scaled quorum	2x	1.0	1979	False
89	scaled quorum	2x	1.0	2146	False
90	scaled quorum	2x	1.0	2597	False
91	scaled quorum	2x	1.0	2171	False
92	scaled quorum	2x	1.0	2497	False
93	scaled quorum	2x	1.0	1872	False
94	scaled quorum	2x	1.0	1941	False
95	scaled quorum	2x	1.0	1588	False
96	scaled quorum	2x	1.0	1475	False
97	scaled quorum	2x	1.0	2303	False
98	scaled quorum	2x	1.0	1754	False
99	scaled quorum	2x	1.0	1321	False
