	type	dist	accuracy	time	splits
0	fixed quorum	4x	1.0	1202	False
1	fixed quorum	4x	1.0	2684	False
2	fixed quorum	4x	1.0	1726	False
3	fixed quorum	4x	1.0	2121	False
4	fixed quorum	4x	1.0	2551	False
5	fixed quorum	4x	1.0	2068	False
6	fixed quorum	4x	1.0	1310	False
7	fixed quorum	4x	1.0	1398	False
8	fixed quorum	4x	1.0	1229	False
9	fixed quorum	4x	0.0	14026	False
10	fixed quorum	4x	1.0	1568	False
11	fixed quorum	4x	1.0	2120	False
12	fixed quorum	4x	1.0	2104	False
13	fixed quorum	4x	0.0	1364	False
14	fixed quorum	4x	1.0	2016	False
15	fixed quorum	4x	1.0	2524	False
16	fixed quorum	4x	0.0	2962	False
17	fixed quorum	4x	1.0	1135	False
18	fixed quorum	4x	1.0	2019	False
19	fixed quorum	4x	1.0	1413	False
20	fixed quorum	4x	1.0	2749	False
21	fixed quorum	4x	1.0	1864	False
22	fixed quorum	4x	0.0	639	False
23	fixed quorum	4x	1.0	2471	False
24	fixed quorum	4x	1.0	1771	False
25	fixed quorum	4x	1.0	2765	False
26	fixed quorum	4x	1.0	2983	False
27	fixed quorum	4x	1.0	2012	False
28	fixed quorum	4x	1.0	2279	False
29	fixed quorum	4x	1.0	1035	False
30	fixed quorum	4x	1.0	3357	False
31	fixed quorum	4x	1.0	3837	False
32	fixed quorum	4x	0.0	1596	False
33	fixed quorum	4x	1.0	3200	False
34	fixed quorum	4x	1.0	1760	False
35	fixed quorum	4x	0.0	2268	False
36	fixed quorum	4x	1.0	3316	False
37	fixed quorum	4x	0.0	1871	False
38	fixed quorum	4x	1.0	2028	False
39	fixed quorum	4x	1.0	1600	False
40	fixed quorum	4x	1.0	2713	False
41	fixed quorum	4x	1.0	2907	False
42	fixed quorum	4x	1.0	2396	False
43	fixed quorum	4x	1.0	2089	False
44	fixed quorum	4x	1.0	2899	False
45	fixed quorum	4x	0.0	901	False
46	fixed quorum	4x	1.0	1247	False
47	fixed quorum	4x	0.0	1503	False
48	fixed quorum	4x	1.0	3381	False
49	fixed quorum	4x	1.0	2757	False
50	fixed quorum	4x	1.0	2200	False
51	fixed quorum	4x	1.0	3524	False
52	fixed quorum	4x	1.0	2171	False
53	fixed quorum	4x	1.0	2128	False
54	fixed quorum	4x	1.0	2140	False
55	fixed quorum	4x	1.0	1814	False
56	fixed quorum	4x	1.0	2218	False
57	fixed quorum	4x	1.0	1763	False
58	fixed quorum	4x	0.0	538	False
59	fixed quorum	4x	1.0	2841	False
60	fixed quorum	4x	1.0	1972	False
61	fixed quorum	4x	1.0	2876	False
62	fixed quorum	4x	0.0	603	False
63	fixed quorum	4x	1.0	2459	False
64	fixed quorum	4x	1.0	2894	False
65	fixed quorum	4x	1.0	2361	False
66	fixed quorum	4x	1.0	2525	False
67	fixed quorum	4x	1.0	1880	False
68	fixed quorum	4x	1.0	2802	False
69	fixed quorum	4x	0.0	1158	False
70	fixed quorum	4x	1.0	1792	False
71	fixed quorum	4x	1.0	2518	False
72	fixed quorum	4x	1.0	2326	False
73	fixed quorum	4x	1.0	870	False
74	fixed quorum	4x	1.0	2052	False
75	fixed quorum	4x	1.0	2147	False
76	fixed quorum	4x	1.0	2739	False
77	fixed quorum	4x	1.0	3438	False
78	fixed quorum	4x	1.0	1870	False
79	fixed quorum	4x	1.0	2726	False
80	fixed quorum	4x	1.0	1630	False
81	fixed quorum	4x	1.0	1550	False
82	fixed quorum	4x	1.0	1749	False
83	fixed quorum	4x	1.0	2061	False
84	fixed quorum	4x	1.0	2205	False
85	fixed quorum	4x	1.0	1445	False
86	fixed quorum	4x	1.0	2080	False
87	fixed quorum	4x	1.0	3234	False
88	fixed quorum	4x	1.0	2566	False
89	fixed quorum	4x	1.0	2623	False
90	fixed quorum	4x	1.0	1975	False
91	fixed quorum	4x	1.0	1935	False
92	fixed quorum	4x	1.0	2067	False
93	fixed quorum	4x	1.0	1967	False
94	fixed quorum	4x	1.0	2891	False
95	fixed quorum	4x	1.0	1973	False
96	fixed quorum	4x	1.0	3156	False
97	fixed quorum	4x	1.0	1876	False
98	fixed quorum	4x	1.0	2051	False
99	fixed quorum	4x	1.0	1589	False
