	type	dist	accuracy	time	splits
0	fixed quorum	4x	0.0	1162	False
1	fixed quorum	4x	0.0	960	False
2	fixed quorum	4x	1.0	4254	False
3	fixed quorum	4x	0.0	1407	False
4	fixed quorum	4x	0.0	911	False
5	fixed quorum	4x	0.0	1230	False
6	fixed quorum	4x	0.0	1851	False
7	fixed quorum	4x	0.0	885	False
8	fixed quorum	4x	1.0	2199	False
9	fixed quorum	4x	0.0	1824	False
10	fixed quorum	4x	1.0	3842	False
11	fixed quorum	4x	0.0	1226	False
12	fixed quorum	4x	1.0	3098	False
13	fixed quorum	4x	0.0	1470	False
14	fixed quorum	4x	1.0	2141	False
15	fixed quorum	4x	1.0	2019	False
16	fixed quorum	4x	0.0	1556	False
17	fixed quorum	4x	0.0	814	False
18	fixed quorum	4x	1.0	2923	False
19	fixed quorum	4x	1.0	2390	False
20	fixed quorum	4x	1.0	1854	False
21	fixed quorum	4x	0.0	2154	False
22	fixed quorum	4x	0.0	1697	False
23	fixed quorum	4x	1.0	2435	False
24	fixed quorum	4x	1.0	2901	False
25	fixed quorum	4x	1.0	2213	False
26	fixed quorum	4x	0.0	1112	False
27	fixed quorum	4x	1.0	1730	False
28	fixed quorum	4x	1.0	1971	False
29	fixed quorum	4x	0.0	1940	False
30	fixed quorum	4x	1.0	1843	False
31	fixed quorum	4x	1.0	894	False
32	fixed quorum	4x	0.0	795	False
33	fixed quorum	4x	0.0	2359	False
34	fixed quorum	4x	0.0	1318	False
35	fixed quorum	4x	1.0	2447	False
36	fixed quorum	4x	0.0	2833	False
37	fixed quorum	4x	0.0	1087	False
38	fixed quorum	4x	1.0	2021	False
39	fixed quorum	4x	1.0	1610	False
40	fixed quorum	4x	1.0	2779	False
41	fixed quorum	4x	1.0	2814	False
42	fixed quorum	4x	1.0	2997	False
43	fixed quorum	4x	1.0	2345	False
44	fixed quorum	4x	1.0	1294	False
45	fixed quorum	4x	1.0	2484	False
46	fixed quorum	4x	0.0	2041	False
47	fixed quorum	4x	1.0	1980	False
48	fixed quorum	4x	0.0	1127	False
49	fixed quorum	4x	1.0	2831	False
50	fixed quorum	4x	1.0	2555	False
51	fixed quorum	4x	1.0	1386	False
52	fixed quorum	4x	1.0	2355	False
53	fixed quorum	4x	0.0	1040	False
54	fixed quorum	4x	0.0	1354	False
55	fixed quorum	4x	0.0	2436	False
56	fixed quorum	4x	1.0	2510	False
57	fixed quorum	4x	0.0	1090	False
58	fixed quorum	4x	1.0	4179	False
59	fixed quorum	4x	0.0	1562	False
60	fixed quorum	4x	0.0	2777	False
61	fixed quorum	4x	1.0	2809	False
62	fixed quorum	4x	0.0	1633	False
63	fixed quorum	4x	0.0	2079	False
64	fixed quorum	4x	0.14	1906	True
65	fixed quorum	4x	1.0	3423	False
66	fixed quorum	4x	0.0	1966	False
67	fixed quorum	4x	0.0	1504	False
68	fixed quorum	4x	0.0	826	False
69	fixed quorum	4x	1.0	2488	False
70	fixed quorum	4x	0.0	1653	False
71	fixed quorum	4x	1.0	2732	False
72	fixed quorum	4x	1.0	2195	False
73	fixed quorum	4x	0.05	2833	True
74	fixed quorum	4x	1.0	2686	False
75	fixed quorum	4x	1.0	2564	False
76	fixed quorum	4x	0.0	2483	False
77	fixed quorum	4x	0.0	327	False
78	fixed quorum	4x	0.0	1059	False
79	fixed quorum	4x	0.0	2682	False
80	fixed quorum	4x	1.0	2666	False
81	fixed quorum	4x	0.0	1694	False
82	fixed quorum	4x	1.0	3122	False
83	fixed quorum	4x	0.0	3025	False
84	fixed quorum	4x	1.0	2390	False
85	fixed quorum	4x	1.0	2540	False
86	fixed quorum	4x	0.0	1363	False
87	fixed quorum	4x	1.0	1407	False
88	fixed quorum	4x	0.0	894	False
89	fixed quorum	4x	0.0	1019	False
90	fixed quorum	4x	1.0	2016	False
91	fixed quorum	4x	0.0	997	False
92	fixed quorum	4x	0.0	1244	False
93	fixed quorum	4x	1.0	3221	False
94	fixed quorum	4x	1.0	2891	False
95	fixed quorum	4x	0.0	1842	False
96	fixed quorum	4x	1.0	3780	False
97	fixed quorum	4x	1.0	3767	False
98	fixed quorum	4x	0.0	2595	False
99	fixed quorum	4x	0.0	845	False
