	type	dist	accuracy	time	splits
0	fixed quorum	7x	0.17	3429	True
1	fixed quorum	7x	0.0	1409	False
2	fixed quorum	7x	1.0	2369	False
3	fixed quorum	7x	1.0	2964	False
4	fixed quorum	7x	1.0	2118	False
5	fixed quorum	7x	0.0	1252	False
6	fixed quorum	7x	1.0	4850	False
7	fixed quorum	7x	1.0	3057	False
8	fixed quorum	7x	0.0	3929	False
9	fixed quorum	7x	0.0	1537	False
10	fixed quorum	7x	1.0	3511	False
11	fixed quorum	7x	0.0	1730	False
12	fixed quorum	7x	0.0	2042	False
13	fixed quorum	7x	1.0	3672	False
14	fixed quorum	7x	0.0	1271	False
15	fixed quorum	7x	1.0	2836	False
16	fixed quorum	7x	1.0	3065	False
17	fixed quorum	7x	1.0	2581	False
18	fixed quorum	7x	0.0	1206	False
19	fixed quorum	7x	1.0	4235	False
20	fixed quorum	7x	0.0	1853	False
21	fixed quorum	7x	0.0	1274	False
22	fixed quorum	7x	1.0	2328	False
23	fixed quorum	7x	0.0	963	False
24	fixed quorum	7x	0.0	2550	False
25	fixed quorum	7x	1.0	4275	False
26	fixed quorum	7x	0.0	1733	False
27	fixed quorum	7x	0.09	1851	True
28	fixed quorum	7x	1.0	4660	False
29	fixed quorum	7x	0.0	1878	False
30	fixed quorum	7x	1.0	4971	False
31	fixed quorum	7x	0.0	1366	False
32	fixed quorum	7x	0.0	2417	False
33	fixed quorum	7x	1.0	2936	False
34	fixed quorum	7x	1.0	5776	False
35	fixed quorum	7x	1.0	3912	False
36	fixed quorum	7x	1.0	2903	False
37	fixed quorum	7x	1.0	4696	False
38	fixed quorum	7x	1.0	2457	False
39	fixed quorum	7x	0.0	2017	False
40	fixed quorum	7x	0.0	1525	False
41	fixed quorum	7x	0.0	1659	False
42	fixed quorum	7x	1.0	1998	False
43	fixed quorum	7x	0.0	1879	False
44	fixed quorum	7x	0.0	1544	False
45	fixed quorum	7x	1.0	5334	False
46	fixed quorum	7x	0.0	2428	False
47	fixed quorum	7x	0.0	1730	False
48	fixed quorum	7x	1.0	4270	False
49	fixed quorum	7x	0.0	2076	False
50	fixed quorum	7x	1.0	3250	False
51	fixed quorum	7x	1.0	2154	False
52	fixed quorum	7x	1.0	2210	False
53	fixed quorum	7x	1.0	4428	False
54	fixed quorum	7x	1.0	3966	False
55	fixed quorum	7x	0.0	1478	False
56	fixed quorum	7x	0.0	3307	False
57	fixed quorum	7x	0.0	1033	False
58	fixed quorum	7x	1.0	2535	False
59	fixed quorum	7x	0.0	2211	False
60	fixed quorum	7x	1.0	4499	False
61	fixed quorum	7x	1.0	4185	False
62	fixed quorum	7x	0.0	1718	False
63	fixed quorum	7x	1.0	3188	False
64	fixed quorum	7x	1.0	2772	False
65	fixed quorum	7x	0.0	1404	False
66	fixed quorum	7x	1.0	5339	False
67	fixed quorum	7x	1.0	2803	False
68	fixed quorum	7x	0.0	1681	False
69	fixed quorum	7x	1.0	4058	False
70	fixed quorum	7x	0.0	2265	False
71	fixed quorum	7x	1.0	5196	False
72	fixed quorum	7x	0.0	1549	False
73	fixed quorum	7x	0.0	3669	False
74	fixed quorum	7x	0.0	1925	False
75	fixed quorum	7x	1.0	2129	False
76	fixed quorum	7x	0.0	1262	False
77	fixed quorum	7x	0.0	1457	False
78	fixed quorum	7x	1.0	2982	False
79	fixed quorum	7x	0.0	1091	False
80	fixed quorum	7x	1.0	2330	False
81	fixed quorum	7x	1.0	3866	False
82	fixed quorum	7x	1.0	3610	False
83	fixed quorum	7x	1.0	83430	False
84	fixed quorum	7x	0.0	1927	False
85	fixed quorum	7x	1.0	5706	False
86	fixed quorum	7x	0.0	1783	False
87	fixed quorum	7x	0.0	774	False
88	fixed quorum	7x	1.0	3826	False
89	fixed quorum	7x	1.0	3782	False
90	fixed quorum	7x	0.0	1184	False
91	fixed quorum	7x	0.0	2218	False
92	fixed quorum	7x	1.0	4457	False
93	fixed quorum	7x	1.0	1758	False
94	fixed quorum	7x	0.0	3721	False
95	fixed quorum	7x	1.0	4062	False
96	fixed quorum	7x	0.0	2387	False
97	fixed quorum	7x	0.0	1928	False
98	fixed quorum	7x	0.0	2324	False
99	fixed quorum	7x	0.0	1758	False
